k,seed,construction,method,worst_case,reduced_cost,cost_ratio,cost_diff,regret,lol_reduced,lol_full,relative_wc_weight,percentage,avg_weight_normal,avg_weight_wc,max_weight_normal,max_weight_wc,avg_local_wc_dist,inv_cost_reduced,fixed_inv_cost_reduced,inv_cost_ref,fixed_inv_cost_ref,inv_ccgt,inv_solar,inv_ocgt,inv_wind,inv_wind_offshore,inv_battery,inv_electrolizer,clustering_time
50,2,2,kmedoids_dirac_no_wc_2,no_wc,608.868324755869,1.1574138796356415,82.80903389308514,15.741387963564144,66,3,0.0,0.0,21.9,0.0,69.0,0.0,0.0,322.05459278499745,63.710581340155485,323.87764369362117,64.70319207412541,0.8953066919624844,2.5078436756624303,0.0,3.42829602084719,0.0,1.316903284483244,1.1184540936842686,1.7115095
50,3,2,kmedoids_dirac_no_wc_2,no_wc,675.7271307156545,1.2845075497239145,149.66783985287066,28.450754972391444,27,3,0.0,0.0,21.9,0.0,82.0,0.0,0.0,304.21664558283874,57.709604592162705,323.87764369362117,64.70319207412541,0.980308866250046,2.825209594546982,0.42580684277807734,2.4894948664471754,0.0,1.545836562370105,1.0173577069695625,0.4957939
60,1,2,kmedoids_dirac_no_wc_2,no_wc,713.6518252541456,1.3565996032190466,187.5925343913617,35.65996032190465,27,3,0.0,0.0,18.25,0.0,64.0,0.0,0.0,330.465275221319,65.81922369960984,323.87764369362117,64.70319207412541,0.9152651180738486,2.4000948238670525,0.42271259177632525,3.5874813762888835,0.0,1.7908904800857872,1.0150924569376585,0.4242987
60,2,2,kmedoids_dirac_no_wc_2,no_wc,967.2277030242528,1.838628686583814,441.16841216146895,83.86286865838139,70,3,0.0,0.0,18.25,0.0,49.0,0.0,0.0,321.4902631561515,64.70279154287425,323.87764369362117,64.70319207412541,0.8844359741200705,2.2601969393795067,0.0,3.653996011683105,0.0,1.3053701719411916,1.0639829470277207,1.6098793
60,3,2,kmedoids_dirac_no_wc_2,no_wc,667.3558554012841,1.2685943713811447,141.2965645385002,26.859437138114473,29,3,0.0,0.0,18.25,0.0,66.0,0.0,0.0,302.8743104497277,57.45509210971984,323.87764369362117,64.70319207412541,0.9952559388603441,2.842066077724158,0.31285473802339603,2.4397874743719425,0.0,1.5451157960005188,1.0194798242822705,0.4068152
70,1,2,kmedoids_dirac_no_wc_2,no_wc,743.0651960120484,1.4125122565430897,217.00590514926455,41.25122565430897,28,3,0.0,0.0,15.642857142857142,0.0,64.0,0.0,0.0,330.97386557372295,65.92594158500448,323.87764369362117,64.70319207412541,0.9215229363455044,2.41855349191372,0.3715400752287228,3.5855521754501303,0.0,1.7950604905583065,1.0117910746343524,1.6232839
70,2,2,kmedoids_dirac_no_wc_2,no_wc,722.0312747097154,1.3725283200027132,195.9719838469315,37.25283200027131,73,3,0.0,0.0,15.642857142857142,0.0,41.0,0.0,0.0,313.6274587252271,62.028810395967426,323.87764369362117,64.70319207412541,0.903094450592193,2.4441846545970605,0.0,3.266605038076978,0.0,1.3564812600944771,1.0956173575520276,0.5008965
70,3,2,kmedoids_dirac_no_wc_2,no_wc,703.5395899597576,1.33737698806895,177.48029909697368,33.73769880689499,27,3,0.0,0.0,15.642857142857142,0.0,64.0,0.0,0.0,303.08235115481006,57.78036106844639,323.87764369362117,64.70319207412541,0.9923714899218506,2.775225585877558,0.3276033125043313,2.502270045400833,0.0,1.5460218048254566,1.013999314506143,1.6488559
80,1,2,kmedoids_dirac_no_wc_2,no_wc,739.3686746801402,1.4054854415127047,213.30938381735632,40.548544151270484,26,3,0.0,0.0,13.6875,0.0,63.0,0.0,0.0,325.8607170953755,64.960963720912,323.87764369362117,64.70319207412541,0.927807503684093,2.2730616545439384,0.32814315604565075,3.523084330620681,0.024770187264727243,1.7600416190182258,1.0120421403983728,0.2678561
80,2,2,kmedoids_dirac_no_wc_2,no_wc,706.8916998880469,1.3437491023657844,180.83240902526302,34.37491023657843,35,3,0.0,0.0,13.6875,0.0,38.0,0.0,0.0,339.6214040673507,57.76004260474715,323.87764369362117,64.70319207412541,0.9405814812888934,1.9215547914994984,0.0,2.645139495300222,0.7300577962360545,1.4703486327673472,1.0337962569810775,1.7100454
80,3,2,kmedoids_dirac_no_wc_2,no_wc,652.7614040387231,1.240851393325145,126.70211317593919,24.085139332514494,30,3,0.0,0.0,13.6875,0.0,55.0,0.0,0.0,301.5055461310207,57.47321377829294,323.87764369362117,64.70319207412541,1.0112322477951807,2.7985426813600505,0.18513049362910347,2.439140461173018,0.0,1.5451064141896196,1.0212411025196293,0.4895561
100,1,2,kmedoids_dirac_no_wc_2,no_wc,712.0329201977503,1.3535221838396831,185.9736293349664,35.35221838396831,28,3,0.0,0.0,10.95,0.0,46.0,0.0,0.0,319.94649254954277,64.93682740267772,323.87764369362117,64.70319207412541,0.9406999326229526,2.071965770608123,0.2573146750666189,3.5869176640273865,0.0,1.7165032947411452,1.0141277934112496,1.4796344
100,2,2,kmedoids_dirac_no_wc_2,no_wc,638.0471030678023,1.2128805899832098,111.98781220501837,21.288058998320974,42,3,0.0,0.0,10.95,0.0,28.0,0.0,0.0,306.6338178565591,60.26814663584862,323.87764369362117,64.70319207412541,0.9812472272682684,2.481758026917421,0.0,2.919173506193341,0.0,1.4952696570483317,1.0389774751476875,0.7920888
